BILL DATE,no. of BILL NUMBER,BILL NUMBERS,DISC.AMT,CASH SALES,CR.SALES,TOTAL SALES,month
09/01/24,19,4388-4406,1036.88,12575.0,0.0,12575.0,jan24
10/01/24,13,4407-4419,552.5,7343.0,0.0,7343.0,jan24
11/01/24,22,4420-4441,,7575.0,0.0,7575.0,jan24
12/01/24,20,4442-4461,576.27,9641.0,0.0,9641.0,jan24
13/01/24,20,4462-4481,162.43,4898.0,0.0,4898.0,jan24
16/01/24,4,4482-4485,28.59,422.0,0.0,422.0,jan24
17/01/24,27,4486-4512,358.54,10288.0,0.0,10288.0,jan24
18/01/24,21,4513-4533,495.0,8429.0,0.0,8429.0,jan24
19/01/24,17,4534-4550,1288.0,14131.0,0.0,14131.0,jan24
20/01/24,9,4551-4559,605.24,8358.0,0.0,8358.0,jan24
22/01/24,30,4560-4589,515.9,10594.0,0.0,10594.0,jan24
23/01/24,16,4590-4605,124.71,6108.0,0.0,6108.0,jan24
24/01/24,24,4606-4629,547.74,10155.0,0.0,10155.0,jan24
26/01/24,29,4630-4658,1070.7,17111.0,0.0,17111.0,jan24
27/01/24,27,4659-4685,708.42,11596.0,0.0,11596.0,jan24
29/01/24,12,4686-4697,29.09,2714.0,0.0,2714.0,jan24
30/01/24,22,4698-4719,602.87,9306.0,0.0,9306.0,jan24
31/01/24,23,4720-4742,337.42,6260.0,0.0,6260.0,jan24
01/07/23,17,1203-1219,341.62,6312.0,0.0,6312.0,jul23
03/07/23,20,1220-1239,748.84,21020.0,0.0,21020.0,jul23
04/07/23,5,1240-1244,99.2,1381.0,0.0,1381.0,jul23
05/07/23,11,1245-1255,897.19,8902.0,0.0,8902.0,jul23
06/07/23,26,1256-1281,647.25,10778.0,0.0,10778.0,jul23
07/07/23,12,1282-1293,327.14,4691.0,0.0,4691.0,jul23
08/07/23,23,1294-1316,774.26,10150.0,0.0,10150.0,jul23
10/07/23,15,1317-1331,305.11,6454.0,0.0,6454.0,jul23
11/07/23,17,1332-1348,289.39,6657.0,0.0,6657.0,jul23
12/07/23,16,1349-1364,245.35,5378.0,0.0,5378.0,jul23
13/07/23,15,1365-1379,441.19,6982.0,0.0,6982.0,jul23
14/07/23,10,1380-1389,419.13,4835.0,0.0,4835.0,jul23
15/07/23,10,1390-1399,1051.9,9970.0,0.0,9970.0,jul23
17/07/23,15,1400-1414,99.93,3276.0,0.0,3276.0,jul23
18/07/23,16,1415-1430,307.42,4559.0,0.0,4559.0,jul23
19/07/23,14,1431-1444,226.26,5001.0,0.0,5001.0,jul23
20/07/23,11,1445-1455,,2202.0,0.0,2202.0,jul23
21/07/23,11,1456-1466,316.03,5028.0,0.0,5028.0,jul23
22/07/23,16,1467-1482,560.05,7930.0,0.0,7930.0,jul23
24/07/23,19,1483-1501,590.6,8619.0,0.0,8619.0,jul23
25/07/23,21,1502-1522,324.6,7436.0,0.0,7436.0,jul23
26/07/23,22,1523-1544,560.37,8304.0,0.0,8304.0,jul23
27/07/23,17,1545-1561,18.28,5119.0,0.0,5119.0,jul23
28/07/23,11,1562-1572,329.09,4466.0,0.0,4466.0,jul23
29/07/23,13,1573-1585,,3443.0,0.0,3443.0,jul23
31/07/23,21,1586-1606,478.14,8505.0,0.0,8505.0,jul23
01/06/23,14,801-814,424.23,5761.0,0.0,5761.0,jun23
02/06/23,7,815-821,333.04,4318.0,0.0,4318.0,jun23
03/06/23,15,822-836,207.12,7776.0,0.0,7776.0,jun23
05/06/23,15,837-851,1058.64,11394.0,0.0,11394.0,jun23
06/06/23,15,852-866,333.35,6171.0,0.0,6171.0,jun23
07/06/23,21,867-887,396.32,6934.0,0.0,6934.0,jun23
08/06/23,20,888-907,467.9,11736.0,0.0,11736.0,jun23
09/06/23,12,908-919,29.7,6328.0,0.0,6328.0,jun23
10/06/23,12,920-931,712.53,10079.0,0.0,10079.0,jun23
12/06/23,22,932-953,701.63,9800.0,0.0,9800.0,jun23
13/06/23,11,954-964,541.88,6662.0,0.0,6662.0,jun23
14/06/23,17,965-981,305.33,4378.0,0.0,4378.0,jun23
15/06/23,18,982-999,653.2,8304.0,0.0,8304.0,jun23
16/06/23,12,1000-1011,229.41,4501.0,0.0,4501.0,jun23
17/06/23,16,1012-1027,244.08,5444.0,0.0,5444.0,jun23
19/06/23,22,1028-1049,395.15,8846.0,0.0,8846.0,jun23
20/06/23,11,1050-1060,94.17,2323.0,0.0,2323.0,jun23
21/06/23,17,1061-1077,301.97,4989.0,0.0,4989.0,jun23
22/06/23,13,1078-1090,347.57,4180.0,0.0,4180.0,jun23
23/06/23,16,1091-1106,612.11,8418.0,0.0,8418.0,jun23
24/06/23,14,1107-1120,-60.31,3256.0,0.0,3256.0,jun23
25/06/23,1,1121-1121,,85.0,0.0,85.0,jun23
26/06/23,15,1122-1136,115.83,4547.0,0.0,4547.0,jun23
27/06/23,21,1137-1157,475.43,21264.0,0.0,21264.0,jun23
28/06/23,18,1158-1175,397.39,5630.0,0.0,5630.0,jun23
29/06/23,10,1176-1185,54.09,2031.0,0.0,2031.0,jun23
30/06/23,17,1186-1202,287.69,6277.0,0.0,6277.0,jun23
01/03/24,12,5227-5238,653.37,11117.0,0.0,11117.0,mar24
02/03/24,24,5239-5262,994.24,13826.0,0.0,13826.0,mar24
03/03/24,2,5263-5264,644.5,5800.0,0.0,5800.0,mar24
04/03/24,18,5265-5282,203.48,5644.0,0.0,5644.0,mar24
05/03/24,18,5283-5300,259.51,5525.0,0.0,5525.0,mar24
06/03/24,32,5301-5332,1056.97,14617.0,0.0,14617.0,mar24
07/03/24,10,5333-5342,147.34,4013.0,0.0,4013.0,mar24
08/03/24,9,5343-5351,,6656.0,0.0,6656.0,mar24
09/03/24,18,5352-5369,383.42,7370.0,0.0,7370.0,mar24
11/03/24,29,5370-5398,232.66,10262.0,0.0,10262.0,mar24
12/03/24,19,5399-5417,757.34,12316.0,0.0,12316.0,mar24
13/03/24,19,5418-5436,737.92,11682.0,0.0,11682.0,mar24
14/03/24,11,5437-5447,70.5,3801.0,0.0,3801.0,mar24
15/03/24,13,5448-5460,-22.07,3300.0,0.0,3300.0,mar24
16/03/24,14,5461-5474,430.16,7201.0,0.0,7201.0,mar24
18/03/24,20,5475-5494,563.88,8314.0,0.0,8314.0,mar24
19/03/24,26,5495-5520,376.64,8843.0,0.0,8843.0,mar24
20/03/24,18,5521-5538,227.37,6626.0,0.0,6626.0,mar24
21/03/24,22,5539-5560,318.49,6676.0,0.0,6676.0,mar24
22/03/24,14,5561-5574,203.87,3708.0,0.0,3708.0,mar24
25/03/24,21,5575-5595,105.19,7140.0,0.0,7140.0,mar24
26/03/24,20,5596-5615,1121.34,14452.0,0.0,14452.0,mar24
27/03/24,15,5616-5630,454.59,8553.0,0.0,8553.0,mar24
28/03/24,20,5631-5650,496.79,7553.0,0.0,7553.0,mar24
29/03/24,21,5651-5671,191.12,7972.0,0.0,7972.0,mar24
30/03/24,5,5672-5676,439.03,4852.0,0.0,4852.0,mar24
01/05/23,15,395-409,391.24,5710.0,0.0,5710.0,may23
